iter	Passed	Remaining
0	0	67
1	1	67
2	1	59
3	2	52
4	2	49
5	3	47
6	3	46
7	3	45
8	4	44
9	4	43
10	5	42
11	5	41
12	6	41
13	6	40
14	7	39
15	7	39
16	7	38
17	8	38
18	9	38
19	9	38
20	9	37
21	10	36
22	10	35
23	11	35
24	11	34
25	11	33
26	12	32
27	12	32
28	12	31
29	13	30
30	13	30
31	14	29
32	14	29
33	14	28
34	15	28
35	15	27
36	16	27
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	17	23
43	18	23
44	18	22
45	19	22
46	19	22
47	19	21
48	20	21
49	20	20
50	20	20
51	21	19
52	21	19
53	22	18
54	22	18
55	22	17
56	23	17
57	23	16
58	23	16
59	24	16
60	24	15
61	25	15
62	25	15
63	26	14
64	26	14
65	27	13
66	27	13
67	27	13
68	28	12
69	28	12
70	29	11
71	29	11
72	30	11
73	30	10
74	31	10
75	31	9
76	31	9
77	32	9
78	32	8
79	33	8
80	33	7
81	34	7
82	35	7
83	35	6
84	36	6
85	36	5
86	37	5
87	37	5
88	38	4
89	38	4
90	39	3
91	39	3
92	40	3
93	40	2
94	40	2
95	41	1
96	41	1
97	42	0
98	42	0
99	43	0
